H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	0	0	21.75	4.0855	2	736.6
0	1	0	21.75	4.0855	2	736.6
0	0	1	21.75	4.0855	2	736.6
1	0	-1	30.95	2.8889	2	1000.0
0	1	-1	30.95	2.8889	2	1000.0
1	-1	0	30.95	2.8889	2	1000.0
1	1	0	30.95	2.8889	2	1000.0
1	0	1	30.95	2.8889	2	1000.0
0	1	1	30.95	2.8889	2	1000.0
1	1	-1	38.15	2.3588	2	183.1
1	1	1	38.15	2.3588	2	183.1
1	-1	1	38.15	2.3588	2	183.1
1	-1	-1	38.15	2.3588	2	183.1
2	0	0	44.34	2.0427	2	354.4
0	2	0	44.34	2.0427	2	354.4
0	0	2	44.34	2.0427	2	354.4
2	1	0	49.91	1.8271	2	86.3
2	0	-1	49.91	1.8271	2	86.3
1	2	0	49.91	1.8271	2	86.3
0	2	1	49.91	1.8271	2	86.3
0	2	-1	49.91	1.8271	2	86.3
1	0	-2	49.91	1.8271	2	86.3
0	1	-2	49.91	1.8271	2	86.3
2	0	1	49.91	1.8271	2	86.3
2	-1	0	49.91	1.8271	2	86.3
1	-2	0	49.91	1.8271	2	86.3
1	0	2	49.91	1.8271	2	86.3
0	1	2	49.91	1.8271	2	86.3
1	2	-1	55.06	1.6679	2	182.1
2	1	1	55.06	1.6679	2	182.1
2	1	-1	55.06	1.6679	2	182.1
2	-1	1	55.06	1.6679	2	182.1
1	-2	1	55.06	1.6679	2	182.1
1	2	1	55.06	1.6679	2	182.1
2	-1	-1	55.06	1.6679	2	182.1
1	-2	-1	55.06	1.6679	2	182.1
1	1	2	55.06	1.6679	2	182.1
1	1	-2	55.06	1.6679	2	182.1
1	-1	2	55.06	1.6679	2	182.1
1	-1	-2	55.06	1.6679	2	182.1
